place_name,author,rating,text
Jetts 24 hour fitness The Unicorn เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะยูนิคอร์น,Taew Toyingtrakoon,1,"I will give zero star if I could. not enough treadmill, matt etc. very loud with dance section. The staff dont close the door. highly disturbing."
Jetts 24 Hour Fitness The Scene Town in Town เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะซีน ทาวน์อินทาวน์,Itsawat Jatarupajewin,1,"The fitness center announced that renovations would start at 11 PM, but at 10 PM, workers were already sanding and painting, causing strong odors and dust. It felt like they were trying to force people out of the fitness. Please inform the responsible personnel about this. If you are going to change the closing time or the working hours, you should notify us accurately."
Jetts 24 Hour Fitness The Scene Town in Town เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะซีน ทาวน์อินทาวน์,Naif Ahmad,2,Most of Jetts branches is small with limited equipment if its crowded is not good
Jetts 24 Hour Fitness The Scene Town in Town เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะซีน ทาวน์อินทาวน์,Carl Piaf,1,"Sadly, since the change in management recently, many trainers are leaving. My wife has now had two trainers she uses quit in the space of a month. The new manager doesn't seem to understand the needs of their trainers or customers and is pushing too hard to increase revenue. If trainers wanted to be salespeople they'd sell mobile phones!"
Jetts Black - The PARQ,Arnanthithi Na Srito,2,"I was there yesterday for the free trial at approximately 5:30pm.
Overall I wasn't happy with the experience at all.
1. The reception who took me didn't even show me around. Gave me a towel told me where the changing room was and yep that's it.
2. There was not enough lockers at all. I had to put my gym back in a cubby.
3. 90% of the machines had hoggers on them. Just sitting there taking their 5-10 minutes of rest in between sets.
4. There was not enough weight plates making it hard to do actual workouts on freeweights.
5. There was a queue even for the drinking water.
6. The first toilet/shower I went in to change into my gym clothes was fine, however the second one that I weight to change back was so smelly I nearly puked and decided to just skip the shower and go home.

So my final ratings is a 2/5. What could've been a 40-45 minutes work out lasted almost an hour because of the small hassles. And honestly speaking if I had to pay a bit more to use a disgusting toilet I rather just pay a cheaper price to not shower. I'll be heading to Jetts black One bangkok in a few days and see how the experience is there."
Jetts Black - The PARQ,KT,1,Lockers and toilets are never enough during peak hours. I have been there a few times and I always have to leave because of this issue. Which is really upsetting.
Jetts Black - The PARQ,David G,2,"Very questionable choices with the gym equipment they’ve got, broken machines and very slow to repair, disappointing considering the great location and the gym is quite new."
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Ryan,1,"poor management service and irresponsible.
Such an disappointment!
Employees are not helpful and terrible communicators . All  they want from the customers is  to buy their PT package.
I’ve never seen such horrible service in Thailand before."
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Christian H.,1,They always take the money from the bank even you’ve canceled the contract. They did it twice and the machines are the real bone killers 🦴 this is not an accident ( see other comments)
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Tharit,1,"PT = peaked in high school. Bully mentality especially the tall guy with the tattoo, bro chill you think you’re in a training montage, so cringe"
Jetts 24 Hour Fitness The Street Ratchada เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะสตรีท รัชดา,Sebastian,1,Really rude way of speaking to customers. Advertising 1500 baht a month but is in fact 2500 baht a month.
Jetts 24 Hour Fitness - Nawamin City,Chayanis Tuntearapong,3,The equipment is good and well maintained but the bathroom is not clean and has bad smell
Jetts 24 Hour Fitness - Nawamin City,Andreas Tiefenthaler,1,"Pros: not many people, has the basics equipment for workouts.
Cons: bathrooms are not acceptable. Smells like sewage, one is broken for months."
Jetts 24 Hour Fitness Bang Chak เจ็ทส์ ฟิตเนส 24 ชั่วโมง บางจาก,Kyaw Kyaw Soe,1,"I've been a member here for almost 2 years. Despite having several bad experiences in the past, I continued coming because it's the closest gym to my place. But today really crossed the line. I was told I'm only allowed to use the weight scale twice per month — seriously? It's a fitness gym, and you're limiting access to basic tools like a scale? That just doesn't make sense. Very disappointed."
Jetts 24 Hour Fitness Victory Hub เจ็ทส์ ฟิตเนส 24 ชั่วโมง วิคตอรี่ ฮับ,Matthew Mariner,2,"Not a very well kept gym.

When I was there, supplies were not re-stocked (despite asking) while staff sat around.   It also has limited machines and only 1 or 2 weight racks, so weights often just lay on the floor.

Don't recommend."
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Ryan,1,"poor management service and irresponsible.
Such an disappointment!
Employees are not helpful and terrible communicators . All  they want from the customers is  to buy their PT package.
I’ve never seen such horrible service in Thailand before."
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Christian H.,1,They always take the money from the bank even you’ve canceled the contract. They did it twice and the machines are the real bone killers 🦴 this is not an accident ( see other comments)
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Tharit,1,"PT = peaked in high school. Bully mentality especially the tall guy with the tattoo, bro chill you think you’re in a training montage, so cringe"
Jetts Black Park Silom,Joao Campos,1,"Yesterday, I signed up for a 3-month membership at Jetts 24-Hour Gym. Today, I went to Jetts Black in Park Silom at 19:35 PM to upgrade my membership. I had my gym gear and was ready to work out. I spoke with the staff on duty, requesting an upgrade which i was already ready to pay the difference in price. The staff contacted the manager named ""Got"", who informed them that upgrades could only be processed the next day, which meant I couldn't work out.

I politely asked if could be possible to workout today and enrol tomorrow offering a deposit, but they said I wasn't allowed to enter the gym. Essentially, I was kicked out. I definitely won't be returning to this Jetts Black.

This manager named ""GOT"" shouldn't be working on customer service."
Jetts 24 Hour Fitness - Silom Connect,Charlene Liang,2,"The staff is really nice, but they don’t speak much English. A one-day pass is 500 THB and a 3-day pass is 1000 THB. They also have a time limit on when you can use the gym, which I found a bit restrictive. Personally, I think the price is pretty ridiculous, so I didn’t end up going inside. Not sure how the equipment is, but if you don’t mind the cost, you can check it out."
Jetts 24 Hour Fitness - Silom Connect,陈文韬,1,"The smell is very bad, and I never saw anyone cleaning the equipment. The yoga mats are very, very dirty. No one ever told me that I had to wear sneakers, it was a waste of time. The staff can't speak English, and there is no service after the membership is signed up. There are many people every day, and it is very noisy. I don't recommend this store."
Jetts 24 hour Fitness Cosmo Bazaar,Martin Gouws,2,"The aircons have not worked for over 2 months and no fans to help with airflow. The water at the drinking fountain has also not worked properly for two weeks now, taking about 2 minutes to fill a bottle"
Jetts 24 hour Fitness Cosmo Bazaar,Karmolchanok Ruenarom,4,"Good place, shower room is clean, easy to parking, but air conditioner is not cool in some area."
Jetts 24 Hour Fitness - Nawamin City,Chayanis Tuntearapong,3,The equipment is good and well maintained but the bathroom is not clean and has bad smell
Jetts 24 Hour Fitness - Nawamin City,Andreas Tiefenthaler,1,"Pros: not many people, has the basics equipment for workouts.
Cons: bathrooms are not acceptable. Smells like sewage, one is broken for months."
Fitness First Future Park Rangsit ฟิตเนส เฟิร์สท์ ฟิวเจอร์พาร์ครังสิต,Simona Meesaiyati,2,"I went in for a trial and was very disappointed for several reasons:
1.	The staff didn’t provide any useful information about the gym facilities and repeatedly referred to me as “หนู,” which felt unprofessional and condescending.
2.	Many of the equipment areas, especially the dumbbell section, are poorly maintained. The dumbbells are old, and the floor in front of them is uneven and potentially hazardous.
3.	Most concerning of all, one of only two fire exits on the entire floor is blocked by a deadlift station — an extremely unsafe and unacceptable setup.

I would not recommend this gym."
Fitness First Future Park Rangsit ฟิตเนส เฟิร์สท์ ฟิวเจอร์พาร์ครังสิต,Win Class,1,I was a kid and the trainers just say that like im a 2 years old 1 star
Jetts 24 Hour Fitness Market Place Dusit เจ็ทส์ ฟิตเนส 24 ชั่วโมง มาร์เก็ตเพลส ดุสิต,Raff Tzan,1,"Smallest Jetts location that I've been to.
Went there for Leg day. No weighted leg press, and no Squat rack!!!

And in true jetts fashion all the other machines were way to close. Even loading the smith machine was difficult and dangerous.

Half a star. Worst leg day all week."
Jetts 24 Hour Fitness Market Place Dusit เจ็ทส์ ฟิตเนส 24 ชั่วโมง มาร์เก็ตเพลส ดุสิต,Julian Stenersen,1,"Nothing but trouble here. I have an australian Jetts membership that should give me «24/7 access to 250+ clubs worldwide». Even when my local club sends an email to gain access they keep telling me it could take 7-10 days for the email to arrive. Other Jetts in Bangkok let me in without issues. Also, they take 500 baht for a day pass, which is robbery for a gym which such a poor selection of equipment."
Jetts 24 Hour Fitness - Unilever House,Taweerat Kairaskulapat,2,"The gym is not bad overall, but it gets extremely crowded during peak hours (5-8 P.M.), making it hard to get a proper workout. The biggest issue is the air conditioning—easily the worst I’ve ever experienced. The dumbbell area, in particular, feels unbearably hot, which makes training uncomfortable. On top of that, there are no towels available, which raises hygiene concerns since people sweat heavily in this heat. The lack of proper ventilation and basic amenities makes the environment feel unclean. If they improve the air conditioning, provide towels, and maintain better hygiene, it would be a much better experience."
Jetts 24 Hour Fitness - Robinson Lifestyle Latkrabang,Eren Yılmaz,1,"Dear management,
I signed for 3 months contract with my overseas bank account. After my first month I needed to go to my country urgently but before that I wanted to come to the gym and I couldn’t go in. After a while I realized next payment didn’t go through and I didn’t know that. Because of I couldn’t go into the gym I didn’t get any information. I was expecting to receive a call from gym management because they have pictures of my bank card in their system and I could do freeze my account and go to my own country.

So what happened now. After the payment issue I thought okay then which means my gym membership is gone, I went to glass bangna branch for create a membership but they told me I have to pay for 3 months now. I said no one didn’t call me and when I realised it was too late for me to take an action. They said we will call Robinson branch for give you a call yesterday but no one also didn’t call me.

I’m a foreigner in this country I don’t know how the entire system is works but I lived in two different countries for a long time when some issue is appear I always receive a call but I didn’t get anything in Robinson Jett’s fitness branch.

If Robinson fitness management fix this issue I’d like to back to training again because I’m not able to pay for 3 months right now."
Jetts 24 Hour Fitness Stadium One,Bryan Pfister,1,"I wanted to visit on a sunday but day passes are not possible, only MON - FRI.
doesn‘t make sense to me 😁"
Jetts 24 Hour Fitness - Canvas Phloen Chit,David Gonzalez,1,Day 1 of water filter and toilets out of order. Prize for the  Worst maintenance ever
Jetts 24 Hour Fitness - Canvas Phloen Chit,Eaindra Soe,1,Terrible customer service. Staff are unhelpful and talk to me with no respect. They don’t explain anything properly. Completely disappointed.
Jetts 24 Hour Fitness - Unilever House,Taweerat Kairaskulapat,2,"The gym is not bad overall, but it gets extremely crowded during peak hours (5-8 P.M.), making it hard to get a proper workout. The biggest issue is the air conditioning—easily the worst I’ve ever experienced. The dumbbell area, in particular, feels unbearably hot, which makes training uncomfortable. On top of that, there are no towels available, which raises hygiene concerns since people sweat heavily in this heat. The lack of proper ventilation and basic amenities makes the environment feel unclean. If they improve the air conditioning, provide towels, and maintain better hygiene, it would be a much better experience."
Jetts 24 Hour Fitness Victory Hub เจ็ทส์ ฟิตเนส 24 ชั่วโมง วิคตอรี่ ฮับ,Matthew Mariner,2,"Not a very well kept gym.

When I was there, supplies were not re-stocked (despite asking) while staff sat around.   It also has limited machines and only 1 or 2 weight racks, so weights often just lay on the floor.

Don't recommend."
Jetts 24 Hour Fitness Stadium One,Bryan Pfister,1,"I wanted to visit on a sunday but day passes are not possible, only MON - FRI.
doesn‘t make sense to me 😁"
Jetts 24 Hour Fitness Suanplern Market Rama 4 เจ็ทส์ ฟิตเนส 24 ชั่วโมง ตลาดสวนเพลิน พระราม 4,Patrick Lyons,1,"These guys are just not an honest company unfortunately. They advertise 2500 baht  per month for 1 month but require a 3000 baht fee to actually have 24 hour access. Just don’t waste your time with any Jetts branded gym, there are other more honest and respectable gyms in Bangkok."
Jetts 24 Hour Fitness Suanplern Market Rama 4 เจ็ทส์ ฟิตเนส 24 ชั่วโมง ตลาดสวนเพลิน พระราม 4,Nugget Yeet,1,"One of the worst services I have ever experienced. The staff were rude and unprofessional. I had just paid for the membership, and they asked my friend to leave simply for wearing socks and sandals even though he wasn’t even using the equipment. Very bad service. Not recommended."
Jetts 24 Hour Fitness Suanplern Market Rama 4 เจ็ทส์ ฟิตเนส 24 ชั่วโมง ตลาดสวนเพลิน พระราม 4,Sima Parwani,1,You make people sign a contract. When I say i don’t want to work with you. You threaten me to black list me. You take my card details and information and use it. And this is not right. After everything your staff is never aware about anything happening . You are not a gym you are  business .
Jetts 24 Hour Fitness - Silom Connect,Charlene Liang,2,"The staff is really nice, but they don’t speak much English. A one-day pass is 500 THB and a 3-day pass is 1000 THB. They also have a time limit on when you can use the gym, which I found a bit restrictive. Personally, I think the price is pretty ridiculous, so I didn’t end up going inside. Not sure how the equipment is, but if you don’t mind the cost, you can check it out."
Jetts 24 Hour Fitness - Silom Connect,陈文韬,1,"The smell is very bad, and I never saw anyone cleaning the equipment. The yoga mats are very, very dirty. No one ever told me that I had to wear sneakers, it was a waste of time. The staff can't speak English, and there is no service after the membership is signed up. There are many people every day, and it is very noisy. I don't recommend this store."
Jetts 24 Hour Fitness - Sena Fest (Charoen Nakhon),Walter White,3,"Tiny weights area—almost to an unacceptable level. The Smith machine has weird stoppers that make it impossible to do hip thrusts. Honestly, I feel like this gym is worth at most 1000 baht per month.

The 24-hour policy is nice, but it’s not really a game changer in Bangkok—it’s pretty standard.

The cardio section is big, though.

The staff is nice, but they also try to lie about the absence of a free trial, just like in First Fitness.

Could and should be better!"
Jetts 24 Hour Fitness - Sena Fest (Charoen Nakhon),Cena Felix,1,"One of THE, if not THE worst Jett’s in Bangkok. Small, cramped and always packed. Barely any machines, missing basic machines like chest flies. Not worth the membership if u have to come to this one."
Jetts 24 Hour Fitness - Sena Fest (Charoen Nakhon),Lilly Winds,2,"Cramped Space and Poor Facilities

Jetts Sena Fest is very small and lacks sufficient equipment, making it hard to get a proper workout especially during busy hours.

I also didn’t like that the toilet is unisex; it felt uncomfortable, and the cleanliness wasn’t great.

There’s no proper rest area, and you need to bring your own lock for the lockers, which is inconvenient.

Overall, the facility feels cramped and poorly maintained. Wouldn’t recommend if you’re looking for comfort or convenience"
Jetts 24 Hour Fitness - Sena Fest (Charoen Nakhon),Ferdinand Nagal,1,"So disappointed. I made an appointment yesterday to use the scale today at 9 am. I came before 9 am and there's no one at the receptionist. I waited few minutes, there was one guy. I told him I had appointment to use the scale today at 9 am. He asked me to wait. I waited for 20+ minutes and I saw no one at the receptionist. I saw him training someone. At least told me that you have PT session and couldn't accommodate me to use the scale. Just don't ignore other people. It's a basic manner."
Jetts 24 Hour Fitness Amorini Ramintra เจ็ทส์ ฟิตเนส 24 ชั่วโมง อมอรินี่ รามอินทรา,鬱鬱康,1,Noisy….
Jetts 24 Hour Fitness Amorini Ramintra เจ็ทส์ ฟิตเนส 24 ชั่วโมง อมอรินี่ รามอินทรา,rachanon charoonsak,1,"Most of the employees don't have any manners. On the first day I came to apply, many people gave me annoying and unfriendly looks. The manager who applied did not have any manners. It is not surprising that many trainers lack basic manners. The manager came on the first day and was told if his father came with him today when he went to apply for a fitness fee because it would sell training courses. When we told him to try a trial first, it seemed like there was nothing but that was enough. I tried to finish it again and this time I avoided it by asking the caller to ask at home first and he said again that he was calling his mother. That is, not very polite when speaking. I've never seen this before. Many trainers don't have much manners, they look bad and are very narrow. I once walked across a trainer and didn't dodge for a bit, collided with each other and didn't even bother to apologize to the person wearing trainers. The housekeeper first came but was not very good. Sweeping and rubbing in the locker row didn't look like she was going to be in trouble. Many people who play here are strange about placing things on the seat because they are doing PT. As for it coming later, I put it first and it wanted to put it later. It's a matter of the spine, but when we went to sit and rest nearby, it turned and looked at us like it was after a cheap water bottle. Even though we sat down and sat down to rest first and were not satisfied, we didn't have to put it down later and it would still be a big deal. All in all, many things were not impressive."
Jetts 24 Hour Fitness - Index Living Mall Rama II,Fable,2,"This place smells like feces and sewage. It honestly might be a legitimate health risk to be in operation. There is obviously something wrong here, it should not smell so awful everyday. I think it is very neglectful and unprofessional to make the entire gym downstairs have to workout in a poop smell. Is this a punishment to the locals or a cruel joke?"
Jetts 24 Hour Fitness - Index Living Mall Rama II,Kuu P,4,Bathroom has bad smell and no longer provide hand soap.
Jetts 24 Hour Fitness - I'm China Town,Mae,1,"Watch out if you're a foreigner. Lied about not being able to access other branches with the one month subscription, even though the website says you can access them all. They just wanted me to sign up for more months. Then I tried the 3 day trial, but they said it's only 1 day. Showed them the website before they agreed."
Jetts 24 Hour Fitness - I'm China Town,Math mar,1,"I wanted to put no stars but google doesn't allow it..
I registered online for the free trial (1 day before), when I arrived at the gym I was refused entry because I m a foreigner and that the day pass is 500 baht => no thank you 👋"
Jetts 24 Hours Fitness - The Glass Bangna,Yuttana Manachit,1,"Service is worst ever I found. Only focus to sell like robot without any professional action  with customers. Too slow, don’t Clare customer."
Jetts 24 hour Fitness Cosmo Bazaar,Martin Gouws,2,"The aircons have not worked for over 2 months and no fans to help with airflow. The water at the drinking fountain has also not worked properly for two weeks now, taking about 2 minutes to fill a bottle"
Jetts 24 hour Fitness Cosmo Bazaar,Karmolchanok Ruenarom,4,"Good place, shower room is clean, easy to parking, but air conditioner is not cool in some area."
Jetts Black - Central WestVille,Pongpat Chaithat,1,"dont register for this branch, the sell team is suck, they only reply your chat when they want your money, afterward i have problem access to the other branches, 5 days still no replies and i cant access to the gym with my member card."
Jetts Black - Central WestVille,Charupoj Thiampetch,1,"The reception staff has very bad manner, not polite and not having a professionalism at all."
Jetts 24 hour fitness - Robinson Lifestyle Ratchaphruek,Punyada Singhatsatit,4,"The place is ok, clean and match with the standard but a bit small. Around 4 pm to 8 pm is not a good time for people who wants a quiet gym. The PT is ok, standard."
Jetts 24 Hour Fitness Little Walk Rattanathibet เจ็ทส์ ฟิตเนส 24 ชั่วโมง ลิตเติ้ลวอล์ค รัตนาธิเบศร์,sawai Jitnaruemit (เคี้ยง),5,"Clean, new, 24 hours, lots of rides, but during peak periods there might not be enough."
Jetts 24 Hour Fitness Index Living Mall Bang Yai,petmall vet_care_clinic,5,"Clean and new.
Complete equipment, including weights and cardio.
Great atmosphere, allowing you to focus on your workout.
Not crowded, with a wide selection of classes.

Free water dispensers and showers.

I like that it's open 24 hours, perfect for those who work late but still want to exercise. There are also stretching machines with instructions posted."
Jetts 24 Hour Fitness - Central Nakhon Pathom,Sorada Somwan,2,"Wanted to use the new model of measuring device at Jett Fitness, which requires a staff member to measure, so waited until 8:00 a.m., which is the staff working hours, but no one was available to provide service because the trainers were all busy with personal customers and no other staff member was available to take care of them.

Even though they knew that the equipment required staff, there was no one ready to provide service, making them wait for an hour and a half or come back the next day.

On Saturdays and Sundays when there are a lot of customers, there should be a clearer staff assignment because this is a basic service that customers expect. They should give importance to all customers, not just those who pay for personal training.

The equipment is modern, the gym is clean, but the service management still needs improvement."
Jetts 24 Hour Fitness - The Fourth,KOKO,2,"As a current fitness member of this place, I know that this place isn’t so good compared to other Jetts. Many machines kept broken and no one bothered to replace or even check for maintenance. The place is so fully packed in the afternoon since it is too small and some equipments are not prepared well. But I have to keep on coming here since it is the only place around here."
Jetts 24 Hour Fitness - The Fourth,Naing Moe,2,"Brandnew just open but already in a really bad shape. Bathrooms are quite dirty, staffs are just always standing around and in the way of workout space, weights are always racked awkwarly so when you want heavy plates, you have to go diggingin a pile that don't belong there, and organization just aint there. Overall maintenance don't seems to be there at all neither. It looks and feel good now because its brand new now but i dont expect this place to be the same in about 6 months unless management takes a hard look at what's going there. Also please someone wipe down those benches."
Jetts 24 hour fitness - Central Nakhon Sawan,Billy van der Linden,1,Manager doesn't look after gymgoers.
Jetts 24 hour Fitness - Save One Korat,Asen Gabrovski,5,Zero discipline
Jetts 24 hour Fitness - Save One Korat,เกียรติศักดิ์ เทพมณี,1,"I just know. that when we don't get trainers here If you want to play with your own sibling, you can't play, even though we haven't hired an outside trainer. In conclusion, don't hire trainers here = don't play with other people. Usat moved from First here.  I really feel bad."
Jetts 24 Hour Fitness - Terminal 21 Korat,Erbil Zorbaz,1,They wanted a very expensive fee of 500 baht per day. Monthly memberships are available at this price in many European cities. There should be no reason for them to be expensive.
Jetts 24 hour Fitness - Save One Korat,Cathal Bollard,4,"Everything you want from a gym. Layout is identical to the one in Chiang Mai. Plenty of space, 2 storey gym. Decent staff here, they gave me a free class because I was with a Jetts member and the gym was practically empty."
Jetts 24 hour Fitness - Save One Korat,เกียรติศักดิ์ เทพมณี,1,"I just know. that when we don't get trainers here If you want to play with your own sibling, you can't play, even though we haven't hired an outside trainer. In conclusion, don't hire trainers here = don't play with other people. Usat moved from First here.  I really feel bad."
Jetts 24 hour fitness - Central Ayutthaya,n3wZzcl3al2,4,"The place is not very big, there are many new equipments, and there are exercise classes by the mirror."
Jetts 24 hour fitness - Central Ayutthaya,Leesun TK,2,"This place is cramped and overcrowded during peak hours. The gym smells musty, the ventilation is poor, and the toilet smells very filthy. Overall, it was quite disappointing compared to other branches."
Jetts 24 Hour Fitness - Robinson Lifestyle Thalang,Mike,1,I bought a one month gym membership and got kicked out within an hour because I didn't want a gay national man on trt putting his head and phone near my butt. According to him disengaging in homosexual behavior is against the constitution.
Jetts 24 Hour Fitness - Robinson Lifestyle Thalang,Oldooz Mehrfar,1,"We have been registered in this gym for two months, but we no longer intend to continue exercising in this gym, and I will not go to this gym again. Today, a Thai man tried to forcefully take my husband turn at the machine and started saying bad words and swearing ,cursing and disrespecting him , and tried to attack him , We didn't want to fight with this person, so we informed the staff there. Unfortunately, the staff of this gym did nothing for us, I do not recommend this gym to anyone. Because there are no rules in this gym, and when you pay the fee, the management and staff do not accept any responsibility."
Jetts 24 Hour Fitness - One Nimman,Terry Bauer,1,"Please be aware that the subscription does not automatically terminate at the end of the contract period. It continues to charge the subscription fee, and refunds are generally not provided if you realize after several months that charges have been made."
Jetts 24 Hour Fitness - Index Living Mall Chiang Mai,tosya bosya,3,"The jym floor is dirty,  even early morning.  And the huge  windows facing sunlight needs shades,  the AC is not enough."
Jetts 24 Hour Fitness - One Nimman,Terry Bauer,1,"Please be aware that the subscription does not automatically terminate at the end of the contract period. It continues to charge the subscription fee, and refunds are generally not provided if you realize after several months that charges have been made."
Jetts 24 Hour Fitness - Little Walk (Pattaya),Jianbin Li,1,"No one day pass, no one month pass, for membership you should pay 3 months in advance. Kinda ridiculous system, big disappointment."
We Fitness,Masayuki Yoshida,1,"If you want to cancel your subscription, you need to notify them one month in advance.
I submitted my cancellation in the first week of July, but I was told I still need to make one last payment at the end of July and can continue using the service until the end of August.
(This is confusing, since I’m canceling because I won’t be using it in August.)

When I asked the staff, they just said, “It’s the process.”"
WE Fitness Ekkamai,Matthew Raab,1,"Where to begin with this gym?  When you first walk in you'll be greeted by some robots.  Then you'll encounter a bunch of trainers standing around awkwardly trying to intimidate you into purchasing personal training.  It becomes clear that it's the business model to over hire personal trainers as they make the most money this way to a point where there are so many trainers they can outnumber customers at the gym.

Bottom line is that many people are leaving this gym because this gym doesn't care about you but instead only trying to squeeze more money from you.  Think carefully before engaging in a contract."
WE Fitness Esplanade Ratchada,Sebastian,1,Got handed a 3 day free membership. When I finally got to the place the next day they refused to let me workout. I should have called before to tell them I was coming they said. Even though I had gotten zero information about that earlier.
WE Fitness Esplanade Ratchada,Ros C.,3,"NOT WORTH IT.
Good facilities, trainers pays attention to their students' proper posture (vgood)
BUT the yoga class is very intimidating (bad teacher as a whole)
the SALES people cannot respect your timing for the membership and will FORCE you to pay on the day you tried the gym and will tell you that by the following days the promo is gone and you will no be able to afford it. (Person I talked to is the MANAGER)"
We Fitness Khaerai วี ฟิตเนส แคราย,Dean Gomm,4,"Good equipment, but kind of expensive. 3100 baht for one month. Many different machines, mostly pin loaded, there's a few plate loaded on the bottom floor."
We Fitness Khaerai วี ฟิตเนส แคราย,Tobias,2,I was told the price for one day is 700 Baht. For that price I guess the dumbbells are made out of gold. Not an option for short term visitors.
Fitness First Platinum AIA Capital Center ฟิตเนส เฟิรส์ท แพลตตินัม เอไอเอ แคปปิตอล เซ็นเตอร์,bohan wu,2,"i feel unhappy today,because the gym manager lie to me,if i want pass a month gym card,i need pay for 500+thb frist.
when we conversation at gym place.we are talking about pass card than more 3times,but she never say that.
so why i feel bad,she is liar,and she feel confident.she say i sign on the electronic contract.then she just tell me sign and sign，she know i need pass card a mouth,because i  with my friend so many times conversation for this.but she never tell me this fee.its a litter case for me,i just angry she manner,bad bad guy！
Good gym, but I suggest you go to another store for membership, to avoid being fooled by her."
Fitness First Platinum AIA Capital Center ฟิตเนส เฟิรส์ท แพลตตินัม เอไอเอ แคปปิตอล เซ็นเตอร์,SD Surakit,3,"Fitness First locates on 3rd floor but cannot connect to parking lots at same floor. Have to take escalator to the gym. Close at midnight but 9pm on Sat and Sun. Smaller than Q House, maybe same size as Siam Paragon. More busy on evening of working day."
Fitness First Platinum AIA Capital Center ฟิตเนส เฟิรส์ท แพลตตินัม เอไอเอ แคปปิตอล เซ็นเตอร์,Jin Jim,1,We were asked to pay deposit 200 THB per pax to get a locker ! Unheard of . We entered using Malayaia platinum international passport and Malaysia membership card. . Told her that non of the FF in thailand ever ask for money deposit. She still insist she is right . Worst service ever . Resend these group to induction class . Don’t waste international members time
