place_name,author,rating,text
Jetts 24 Hour Fitness - Canvas Phloen Chit,It’s me,4,"This review was coming from someone that has been to over 250 gyms throughout the world. I travel a lot and I constantly try new gyms. This facility is on the smaller side, but it does have everything you need. The staff was extremely friendly, they have offered plenty of drinks, Snacks, and good selection of supplements, including pre-workout, creatine, and protein powder.
This is probably the cleanest gym I’ve been to in the last year or two. If you’re going during slower hours, I would definitely come here. If you go during the busy hours, it may be a little too crowded and small."
Jetts 24 Hour Fitness - Canvas Phloen Chit,Nat Nat,1,"Don’t waste your time calling them. Those who answered usually don’t know anything and will just give you wrong information and waste your time to come all the way to the gym to find out your understanding is completely wrong. I had to go all the way to the store to get the right answer including the cancellation and the transfer of membership. This is what happened when you put incompetence people to the job, even with the one that required only the bare minimum like answering the question.

The gym is always full and all the classes will always be fully booked. Don’t waste your time signing up."
Jetts 24 Hour Fitness - Canvas Phloen Chit,David Gonzalez,1,Day 1 of water filter and toilets out of order. Prize for the  Worst maintenance ever
Jetts 24 Hour Fitness - Canvas Phloen Chit,Shannon Johlic,5,"Very convenient from BTS. Very new and not that crowded compared to other gyms in the area. They have a great selection of free weights and machines for general strength and fitness. (Definitely not a ""bodybuilder"" gym, but I doubt most are looking for that and there are already some good ones of those out there)

Machines are clean
Weights are well organized and good quality
Staff has always been super helpful

Joined 2 months ago and love it every time I go."
Jetts 24 Hour Fitness - Canvas Phloen Chit,Eaindra Soe,1,Terrible customer service. Staff are unhelpful and talk to me with no respect. They don’t explain anything properly. Completely disappointed.
Jetts 24 Hour Fitness Donki Mall Ekkamai เจ็ทส์ ฟิตเนส 24 ชั่วโมง ดองกิ มอลล์ ทองหล่อ,Max T. Agape Commercial Real Estate Group,1,"Crazy expensive daily pass of $500 THB !!!!!!!
They have more staffs and trainers than the poor number of customers! Equipments are ok, not very impressive with the front staffs , quick to take your money with no service !!!!!!!! I will not return !"
Jetts 24 Hour Fitness Donki Mall Ekkamai เจ็ทส์ ฟิตเนส 24 ชั่วโมง ดองกิ มอลล์ ทองหล่อ,Dave B,5,"Jetts Donki Mall location is spacious with lots of up-to-date equipment on 2 levels. They have a very friendly & helpful staff some of whom are fluent in English. Stopped by to just check it out and was so impressed that I signed up for the membership as well as a package of very affordable personal training sessions (especially compared to what I used to pay in the US).

A variety of group classes are also included in the membership as well as use of other locations when traveling.

Definitely happy I chose Jetts and recommend that you check them out if you're looking for a place focused on results instead of a gathering place for gym🐇 & posers."
Jetts 24 Hour Fitness Donki Mall Ekkamai เจ็ทส์ ฟิตเนส 24 ชั่วโมง ดองกิ มอลล์ ทองหล่อ,Troy Steal,1,"Signed up here for a month during my stay in Bangkok and wanted a 24 hour access to a gym. I signed up here and paid then I was told I can not come when ever I like I can. Only come during the day, I explained I come here for the 24 hour access and was told I need to pay for 3 months to get access. I didn’t want 3 months but it was close to my condo so I didn’t mind. After paying for 3 months and getting my card I was told I would have to wait for 2 weeks for the gums billing cycle or something for my card to open the door after hours. So i basically paid for 3 months to only get 2 weeks access and no refunds were offered because “it’s too hard”"
Jetts 24 Hour Fitness Donki Mall Ekkamai เจ็ทส์ ฟิตเนส 24 ชั่วโมง ดองกิ มอลล์ ทองหล่อ,Ann Annika,3,"For the price, it’s a good deal and very good location. Staff are nice as well but the problem was too many items were broken and remain broken for a long time especially the treadmills."
Jetts 24 Hour Fitness Donki Mall Ekkamai เจ็ทส์ ฟิตเนส 24 ชั่วโมง ดองกิ มอลล์ ทองหล่อ,Sirawit Tansiri,2,"Good equipment varieties, friendly staff, but sadly everyone in the gym NEVER RERACK OR RETURN WEIGHTS AND PLATES"
Jetts 24 hour fitness The Unicorn เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะยูนิคอร์น,Ben Werakit,5,"Just opened in Sept last year so this branch is relatively new with much larger space and newer gym & exercise equipments, compared to other branches. The place is easily accessible via the overpass linked to the BTS station but you have to come down to ground floor first, then either climb the narrow stairs down or take the small lift. Since it’s located near many office buildings, you can expect it will be quite crowded with office workers after office hours during weekdays."
Jetts 24 hour fitness The Unicorn เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะยูนิคอร์น,JUSTIN COX,5,"My girlfriend and I hit up Jett’s 24 Hour Fitness recently the last time we were in Bangkok and was blown away by how awesome this place is!

Every piece of equipment is in pristine condition – we're talking all the latest machines, bars, and plates, all looking brand new. It's clear they take the maintenance and care of their gear seriously.

The staff? Superstars in their own right – helpful, friendly, and always on hand to assist.

And the bathrooms? Spotless. I mean, immaculately clean, which you don't see everywhere.

Jetts 24 Hour Fitness isn't just a gym; it's a haven for anyone serious about fitness, whether you're just starting out or deep into your fitness journey.

Definitely check it out if you're looking for a quality workout spot!"
Jetts 24 hour fitness The Unicorn เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะยูนิคอร์น,Taew Toyingtrakoon,1,"I will give zero star if I could. not enough treadmill, matt etc. very loud with dance section. The staff dont close the door. highly disturbing."
Jetts 24 hour fitness The Unicorn เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะยูนิคอร์น,Ten Denduo,2,"GREAT STAFF AND PEOPLE HERE
THIS IS JUST FOR THE BUSINESS OWNER:
1. Lack of equipments. And it is all either 2 in one or 3 in one.  Leg raise and leg curl. Chest press and incline together. They have 5 to 8 machines in total. So make sure you have whole day to train or only go in the middle of day to get your training done effeciently. The machines arent even good though. They are all cable not free weights.

2. 4 benches to train. Wait for your turn if you want to do free weights whilst sitting or even standing. The space is so limited.

3. Toilet. Which genius thought its good to literally have 10 personal toilets without urinals for men. So be wary if you need to take a dump. You have to wipe all the urine off the seat. Its just common sense to have separate urinals for men.

4. All in all, I think the business planner just put a gym without any plan or has never himself/herself been at the gym. It actually has great potential with lots of members coming but then none of them train for long. Its very inconvenient.

5. Its not the gym for dedicated gym goers. And the worst part is, you keep scratching your head why cant they even do simple things properly.

6. I got 1 month membership for 2500 baht. $150 Aud. It is by far the most expensive gym I have been at which has zero services. No sauna, No steam bath nor good stretching area with equipments.

So if you are seeing this post dont mistake like me and just join fitness first in siam. Its nearby anyway. I regret joining this gym, as i joined just because it is walking distance from me. I would like to also mention that though, all the staffs are very friendly and nice. They do their best. However, this issue I am expressing is just for the higher ups to make changes."
Jetts 24 hour fitness The Unicorn เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะยูนิคอร์น,Tatiana,4,"nice gym, has everything you need for workout. it’s located on the -1st floor.
when I was in this gym there was no Wi-Fi for visitors only for staff"
Jetts 24 Hour Fitness The Scene Town in Town เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะซีน ทาวน์อินทาวน์,Itsawat Jatarupajewin,1,"The fitness center announced that renovations would start at 11 PM, but at 10 PM, workers were already sanding and painting, causing strong odors and dust. It felt like they were trying to force people out of the fitness. Please inform the responsible personnel about this. If you are going to change the closing time or the working hours, you should notify us accurately."
Jetts 24 Hour Fitness The Scene Town in Town เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะซีน ทาวน์อินทาวน์,Aiden Wolf,4,"For someone healthy lifestyle, This fitness i've come here often with good accessories and free 3 hours of car parking. AC is so cold!!"
Jetts 24 Hour Fitness The Scene Town in Town เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะซีน ทาวน์อินทาวน์,Naif Ahmad,2,Most of Jetts branches is small with limited equipment if its crowded is not good
Jetts 24 Hour Fitness The Scene Town in Town เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะซีน ทาวน์อินทาวน์,Carl Piaf,1,"Sadly, since the change in management recently, many trainers are leaving. My wife has now had two trainers she uses quit in the space of a month. The new manager doesn't seem to understand the needs of their trainers or customers and is pushing too hard to increase revenue. If trainers wanted to be salespeople they'd sell mobile phones!"
Jetts 24 Hour Fitness The Scene Town in Town เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะซีน ทาวน์อินทาวน์,Kiatirat Apiratanawong,3,"Have enough equipment if you are looking for a standard gym at price 1,500 B a month.

Squat Rack, Barbell, Dumbbell up to 50 - 60 kg., Smith machine, Dual pulley cable machine, and other machines.  Have group class room, stretching space with several gym balls, medicine balls and foam rollers. There are a lot of cardio machines.

Not crowd until 5.30pm.

No toilet or private locker room inside, just shower and changing room. Lockers are outside at reception. No sauna or steaming room.

Free 3 hours parking. Park at the street side anytime except 6 - 9am and 4 - 7pm"
Jetts Black - The PARQ,Mahito Awata,2,"The gym itself is solid, and I’d rate it 4/5. It has good facilities, and most of the staff are friendly and professional. However, there are a few downsides that affect the overall experience.

One issue is the locker availability during peak hours—there simply aren’t enough, which can be frustrating when the gym is busy.

Additionally, there are two staff members who make the experience uncomfortable.

One, who I believe is a manager (as of MAR 2025), is a tall guy whose behavior is quite disrespectful and rude to customers. He doesn’t carry himself in a way that fits a managerial role—he acts like he owns the place, which is unprofessional and not welcoming.

The other is a bulky guy with a forearm tattoo. The way he looks at customers feels disrespectful, and he walks around the gym as if he’s the boss, which creates an unpleasant atmosphere.

Aside from these two, the rest of the staff are great—no complaints there. If management addressed these issues, the gym experience would be much better."
Jetts Black - The PARQ,Arnanthithi Na Srito,2,"I was there yesterday for the free trial at approximately 5:30pm.
Overall I wasn't happy with the experience at all.
1. The reception who took me didn't even show me around. Gave me a towel told me where the changing room was and yep that's it.
2. There was not enough lockers at all. I had to put my gym back in a cubby.
3. 90% of the machines had hoggers on them. Just sitting there taking their 5-10 minutes of rest in between sets.
4. There was not enough weight plates making it hard to do actual workouts on freeweights.
5. There was a queue even for the drinking water.
6. The first toilet/shower I went in to change into my gym clothes was fine, however the second one that I weight to change back was so smelly I nearly puked and decided to just skip the shower and go home.

So my final ratings is a 2/5. What could've been a 40-45 minutes work out lasted almost an hour because of the small hassles. And honestly speaking if I had to pay a bit more to use a disgusting toilet I rather just pay a cheaper price to not shower. I'll be heading to Jetts black One bangkok in a few days and see how the experience is there."
Jetts Black - The PARQ,KT,1,Lockers and toilets are never enough during peak hours. I have been there a few times and I always have to leave because of this issue. Which is really upsetting.
Jetts Black - The PARQ,Raul Golubkov,5,"A newly opened gym offer a variety of classes and full equipped with machines, weights, area you can spend  the energy at your choices, there are classes along the day since early morning, lunch, late afternoon and in the evening if you don’t know where to start. The only down point that might not suit all is the unisex toilet/shower where male and female can mingle around the area that suppose to be private? Just a thought but other than that. It’s worth the price."
Jetts Black - The PARQ,David G,2,"Very questionable choices with the gym equipment they’ve got, broken machines and very slow to repair, disappointing considering the great location and the gym is quite new."
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,AC Wynn,3,"I go to this gym all the time cause it's walkable from my home but this gym is less equipped and maintained compared to other Jetts branches in town. The space is smaller than the others and can be really busy in the evenings after 4/5 pm. There's only one lat pull down cable machine and one squat rack (plus one Smith machine to substitute but I like free weights more) so it can be hectic when it's busy. The bathrooms need more maintenance as I usually see clogs in the sink and the shower drains.
But if you have time to go there during off peak hours, it's good enough to progress your training without much hassle. The members are pretty chilled and nice. The staff are okay, they mostly leave you alone, which is what I like in a gym 😅."
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Ryan,1,"poor management service and irresponsible.
Such an disappointment!
Employees are not helpful and terrible communicators . All  they want from the customers is  to buy their PT package.
I’ve never seen such horrible service in Thailand before."
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Christian H.,1,They always take the money from the bank even you’ve canceled the contract. They did it twice and the machines are the real bone killers 🦴 this is not an accident ( see other comments)
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Tharit,1,"PT = peaked in high school. Bully mentality especially the tall guy with the tattoo, bro chill you think you’re in a training montage, so cringe"
Jetts 24 Hour Fitness The Phyll เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะฟิล,Kim Phan,5,"Love love this Jett’s. They offer so different kind of classes even have only one room for the classes. But you can attend them all and have a mix of different workouts.
Very nice ppl working out there, giving you the feeling of „we’re doing it together, you’re not alone! We’re a team!“ and also the staff are super friendly, always helping me out. I subscribed for a week during my vacation in Bangkok and this is far the most enjoyable gym I’ve ever visited ❤️❤️❤️❤️"
Jetts 24 Hour Fitness The Street Ratchada เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะสตรีท รัชดา,Sebastian,1,Really rude way of speaking to customers. Advertising 1500 baht a month but is in fact 2500 baht a month.
Jetts 24 Hour Fitness The Street Ratchada เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะสตรีท รัชดา,Chi Pi,1,"The staff here are not well-trained and lack a service mindset. I went there for a trial, but the staff appeared unwelcoming and were not ready to serve new customers. I decided to go with another trusted brand whose staff are more friendly and professional."
Jetts 24 Hour Fitness The Street Ratchada เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะสตรีท รัชดา,Peter mayfield,1,"500 baht for a day pass is ridiculously expensive.
Double the price of Australia and for locals obviously 500 baht for a visit is outrageous as normal wage is 300 baht a day.
For me a big pass no disrespect intended just honest ☺️☺️☺️"
Jetts 24 Hour Fitness The Street Ratchada เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะสตรีท รัชดา,J Koney,1,"I just went to this location to get a 1 month membership.... and walked right out just as fast when informed that they only do 2 month and  it would be 6,000 Baht ($180)... for that much money I’ll just walk around Bangkok  every day to get a workout❗️"
Jetts 24 Hour Fitness The Street Ratchada เจ็ทส์ ฟิตเนส 24 ชั่วโมง เดอะสตรีท รัชดา,Somsak Mahawan,5,"Well maintained. Instructors and staff here are friendly. The monthly membership fee is 1,700฿ in 2023."
Jetts 24 Hour Fitness - Nawamin City,Osama Ark,4,"The place is wonderful...parking...coffee house ...and of course the gym...
The gym is amazing... it's just needs to renew the machines and maybe add more :)...
But still the vibes and the staff are amazing there"
Jetts 24 Hour Fitness - Nawamin City,Chayanis Tuntearapong,3,The equipment is good and well maintained but the bathroom is not clean and has bad smell
Jetts 24 Hour Fitness - Nawamin City,Andreas Tiefenthaler,1,"Pros: not many people, has the basics equipment for workouts.
Cons: bathrooms are not acceptable. Smells like sewage, one is broken for months."
Jetts 24 Hour Fitness - Nawamin City,P C,5,"Okay fitness centre, u can stamp parking hour to get more than 3 hours free"
Jetts 24 Hour Fitness - Nawamin City,Tanawadee Puthaaroon,5,"Great place for workout. High ceiling, service mind trainer, and always clean."
Jetts 24 Hour Fitness Bang Chak เจ็ทส์ ฟิตเนส 24 ชั่วโมง บางจาก,Kyaw Kyaw Soe,1,"I've been a member here for almost 2 years. Despite having several bad experiences in the past, I continued coming because it's the closest gym to my place. But today really crossed the line. I was told I'm only allowed to use the weight scale twice per month — seriously? It's a fitness gym, and you're limiting access to basic tools like a scale? That just doesn't make sense. Very disappointed."
Jetts 24 Hour Fitness Bang Chak เจ็ทส์ ฟิตเนส 24 ชั่วโมง บางจาก,luke PARKER,5,"Shes got all you need. Kept as tidy as possible. The cleaners are on point.
The trainers come across knowledgeable and super caring with clients."
Jetts 24 Hour Fitness Bang Chak เจ็ทส์ ฟิตเนส 24 ชั่วโมง บางจาก,Clayon Zaai,2,"Dear Jetts Fitness Team,

I am writing to formally express my frustration regarding the ongoing issue with the Jetts Fitness app. Since joining on March 10, 2025, I have been unable to view the class schedules or properly use the app. Despite multiple attempts to resolve this issue, including assistance from your staff who tried to connect with the IT team, the problem still persists.

This has significantly impacted my ability to plan my workouts and make full use of my membership benefits. I would appreciate a prompt resolution to this matter, as well as a clear update on the steps being taken to fix the issue.

Please treat this as an urgent matter and let me know how and when this will be resolved. I look forward to your response soon.

Thanks"
Jetts 24 Hour Fitness Bang Chak เจ็ทส์ ฟิตเนส 24 ชั่วโมง บางจาก,Gym Saruttaya,5,"This is my regular gym which I go almost everyday, it's quiet and peaceful in the morning and pretty crowed in the evening till night. The place is always nice and clean with more than enough lockers lol."
Jetts 24 Hour Fitness Bang Chak เจ็ทส์ ฟิตเนส 24 ชั่วโมง บางจาก,Yuk 1hirasoma,3,"would be good if they made an app for membercard scan instead of physical card , should make an app like wefitness for example to show membership"
Jetts 24 Hour Fitness Victory Hub เจ็ทส์ ฟิตเนส 24 ชั่วโมง วิคตอรี่ ฮับ,Jordan I,4,"really nice gym but a day pass is 500 baht (at least for foreigners) and they make you sign several forms first, take your ID, etc. Equipment was good though, and the personal trainers that work there are very ....hands on"
Jetts 24 Hour Fitness Victory Hub เจ็ทส์ ฟิตเนส 24 ชั่วโมง วิคตอรี่ ฮับ,Apisit Aoimoon,2,"Very crowded, not enough equipment.
Many people stuck on their bench/machine with smart phone.
Not enough toilet, especially 5-10 P.M.
The Best thing of this branch is numerous of treadmills."
Jetts 24 Hour Fitness Victory Hub เจ็ทส์ ฟิตเนส 24 ชั่วโมง วิคตอรี่ ฮับ,Matthew Mariner,2,"Not a very well kept gym.

When I was there, supplies were not re-stocked (despite asking) while staff sat around.   It also has limited machines and only 1 or 2 weight racks, so weights often just lay on the floor.

Don't recommend."
Jetts 24 Hour Fitness Victory Hub เจ็ทส์ ฟิตเนส 24 ชั่วโมง วิคตอรี่ ฮับ,Ruben Bijman,5,"A great experience.

I wanted to use the facilities for one day only, this was unfortunately not possible to to their membership system but then they let me gym for free.

Thank you again!"
Jetts 24 Hour Fitness Victory Hub เจ็ทส์ ฟิตเนส 24 ชั่วโมง วิคตอรี่ ฮับ,northy pinky,5,"I like this place because it's clean and convenient, and today I was very impressed because deputy branch manager introduced himself to me and taught me how to use the exercise equipment correctly. He very cute. His name is GOT😘"
Jetts 24 Hour Fitness Asoke,Erwin De Koning,4,"I went to Jetts during my holiday to stay fit so I bought a one day pas for 500 THB.
A formal registration took place and 1 got a short summary where I could found what on which floor. The equipment is great and in a good condition. The only comment that I gave that the ceilings are quite low. Yes I’m a tall guy but I almost bounced my head during the box step ups."
Jetts 24 Hour Fitness Asoke,Justin Milligan,5,"Awesome gym, fully equipped for all types of training, the open air upper floor is particularly cool (or hot 🔥)

Staff are friendly and helpful and everything is maintained well.

The location is sweet and it's open 24 hours.

What's not to love?"
Jetts 24 Hour Fitness Asoke,Patty Patty,1,"I usually don’t write reviews, but after multiple safety concerns, it’s time to speak up.

I’ve been training here for a while and have tried to stay quiet out of respect, but after multiple incidents, it’s clear that this location has serious issues in safety and professionalism.

Just today, a 15 or 20 kg fixed bar was left standing vertically in the free weight zone near the row machine — something that should never happen. It fell violently to the floor just one step away from landing on my foot.

One more step, and it could’ve broken a bone. This wasn’t just careless — it was dangerous.

This is now the second time I’ve felt unsafe in this gym.

The first was months ago while walking on the treadmill, when a staff member accidentally shut down the machine I was on while walking past. I was mid-incline — had I lost balance, I could’ve been seriously injured. Yes, he apologized, but apologies don’t erase risk.

Add to this the ongoing lack of basic cleanliness and equipment organization:
- Barbells, dumbbells, and plates are left all over the floor.
- Nothing is ever put back where it belongs.
- Staff walk around, rarely if ever stepping in to maintain order.

Let’s be honest — clients may lack gym etiquette. That’s not new. But when staff show little awareness or accountability, it becomes a bigger problem.

The only reason I continue to come is because of my trainer — not because of the environment.

And if no one starts taking responsibility, this branch won’t improve — no matter how many apologies are given.

I’ve visited other branches and always received a warm welcome and a clean, structured space.

Please do better. For everyone’s safety."
Jetts 24 Hour Fitness Asoke,F344 C4p,1,"After talking to some professionals, I realized I had to speak out.

In 2024, I signed up for this gym and said I DONT need an instructor. A few days later, same teacher called me offering free personal training services. I asked him not to call me,  he sent me messages offering same service..

Afterward, I realized he was taking photos of me exercising WITHOUT my permission.

I have videos and also have his name , wish i could share but nothing gonna change :)

It’s not cheap , always very busy !"
